Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1993;456;158;13;627;803;679;114;1596;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1652.937931;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1994;266;40;10;316;442;197;76;715;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1995;180;51;28;259;306;230;231;767;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1996;393;54;12;459;644;240;94;978;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1997;350;60;2;412;572;251;14;837;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1998;642;95;1;738;1069;415;7;1491;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;1999;465;55;4;524;856;243;34;1133;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;2000;766;174;12;952;1461;802;92;2355;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;2001;443;224;17;684;800;1150;144;2094;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
200236;236.Z;Kongsfjordelva;x;Finnmark;Berlevåg;2002;271;227;40;538;502;1100;356;1958;0.3;0.7;0.55;0.5;0.6;0.7;0.3;0.4;0.6;0.2;0.3;0.5;1101.958621;826.4689655;1377.448277;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0.15;0.7;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
